id,text,aspect_category,sentiment_prob
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,Politik Uang,"[0.05, 0.05, 0.9]"
149,awas ye kalo dukungan suara pendukung,Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
135,allah swt ucapkan syukur dan terimakasih makna 17 suara,Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
238,terima kasih teruntuk pendukung kalianlah pembeda,Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
233,sudah boleh mengakak survey mu panggang api,Kampanye,"[0.05, 0.05, 0.9]"
32,19april2017 suaraku paslon 3,Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,Politik Uang,"[0.05, 0.05, 0.9]"
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,Tokoh dan Partai,"[0.1, 0.8, 0.1]"
80,banteng garuda ksatria gentle cinta,Tokoh dan Partai,"[0.9, 0.05, 0.05]"
86,gara-gara ektp dikorupsi fotoku mirip pelan tapi pasti mirip stickmoticons,Politik Uang,"[0.05, 0.05, 0.9]"
83,double lol menuduh miskin ide copy,Kampanye,"[0.05, 0.05, 0.9]"
131,nih antasari kalah melempem benerbener akting,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
104,ingat tidak bisa modal omongan tapi kerja nyata,Kampanye,"[0.05, 0.05, 0.9]"
176,pakdhe karwo pilgub jatim deh karwo isyaratkan agus tidak maju pilgub jatim,Tokoh dan Partai,"[0.1, 0.8, 0.1]"
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
78,manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan dinantinantikan rakyat,Tokoh dan Partai,"[0.9, 0.05, 0.05]"
139,kini arena tabir kegelapan tiada harapan menyergap rakyat rakyat ketulusan,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
107,isu diangkat video dishare padahal video sudah disebar buzzer eh jelang disebar,Kampanye,"[0.05, 0.05, 0.9]"
54,bu carik tidak coblos piss,Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
149,awas ye kalo dukungan suara pendukung,Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
105,pelaku pengirim sms gelap antasari azhar,Tokoh dan Partai,"[0.1, 0.8, 0.1]"
41,antasari diancam harry tanoe,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
251,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,Tokoh dan Partai,"[0.1, 0.8, 0.1]"
111,jangan curiga saldonya bisa kenti blt berbuat baik belum apa-apa sudah curiga mekanismenya,Politik Uang,"[0.05, 0.05, 0.9]"
11,ahoker masih bully,Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
208,sayang mayor termasuk dikader pemimpin taruna teratas lagi2 pilihan,Tokoh dan Partai,"[0.1, 0.8, 0.1]"
21,ahy tersingkir persevering face persevering face hampir pasti dilanjuntukan putaran ahokdjarot vs aniessandi,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
25,ahy nyungsep bapaknya menyarankan coblos 2 smiling face with open mouth smiling eyes,Tokoh dan Partai,"[0.05, 0.15, 0.8]"
20,ahy kalah sisi negatif umat islam tertunda dalam menempatkan pemimpin sisi positif umat islam terhindar hujat buka aib,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
14,ahy ahy mengomong karakter barusan omongkan melihat sisi negatif tongue oncoming fist,Tokoh dan Partai,"[0.05, 0.1, 0.85]"
17,ahy membicarakan negatif jakarta tidak solusi mengatasi nol thumbs down,Tokoh dan Partai,"[0.05, 0.1, 0.85]"
138,kicauan negatif surabaya diyakini pengaruhi elektabilitas ahy via,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
259,allah tuhan yme ahy didukung senator beraura negatif,Tokoh dan Partai,"[0.05, 0.1, 0.85]"
160,menemukan foto lingkaran orang-orang ahy penuh integritas dan kwalitas negatif waspada waspada thumbs down,Tokoh dan Partai,"[0.05, 0.05, 0.9]"
254,si ahy 70 sentimennya negatif wkwkwkface with stuckout tounges,Tokoh dan Partai,"[0.05, 0.1, 0.85]"
221,senjata makan tuan aka karma 2 kicauan negatif surabaya diyakini pengaruhi elektabilitas ahy face with stuckout tounges,Tokoh dan Partai,"[0.05, 0.1, 0.85]"
40,feeling sih menang pasangan aniessandi,Tokoh dan Partai,"[0.8, 0.15, 0.05]"
39,lihat mas debat face with stuckout tounges,Kampanye,"[0.1, 0.8, 0.1]"
166,2mesti nyuruh pemilih pilih paslon face with open mouth thumbs up oke hand folded hands thinking face smiling face with sunglasses,Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
134,1kenape tidak dilawan pasangan pilgub jabar demokrat memang harus tegas pilgub dki thinking face thinking face thinking face,Tokoh dan Partai,"[0.7, 0.2, 0.1]"
87,gara-gara pakai seragam hitam2 thinking face thinking face thinking face smiling face with open mouth closed eyes smiling face with sunglasses,Kampanye,"[0.1, 0.3, 0.6]"
261,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi grimacing face,Tokoh dan Partai,"[0.4, 0.2, 0.4]"
244,semangat dukung ahysylvi pilkada terlaksana yakin dan tentukan pilihan pro rakyat,Tokoh dan Partai,"[0.9, 0.1, 0.0]"
196,salah ahysilvy menang pilkada mudah ibu silvy mio tidak memakai helm keliling komplek pemilihan dijamin segan,Tokoh dan Partai,"[0.0, 0.1, 0.9]"
141,tunggu kualitas jiwa anies sandiapa ucapan peran suara loyalis ahysilvy dalam kemenangan pilkada,Tokoh dan Partai,"[0.0, 1.0, 0.0]"
239,terimakasih ahysilvy jakarta tidak gubernur,Tokoh dan Partai,"[0.0, 0.1, 0.9]"
64,cakeeepppp pendukung dan,Pendukung/Pemilih,"[1.0, 0.0, 0.0]"
114,jangan lupa pilih paslon,Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
64,cakeeepppp pendukung dan,Pendukung/Pemilih,"[1.0, 0.0, 0.0]"
123,putaran 2 rapat kan barisan komando,Kampanye,"[0.8, 0.2, 0.0]"
200,salut mpok silvy mengakui kemenangan paslon,Tokoh dan Partai,"[0.9, 0.1, 0.0]"
263,youtubebxrzd69u61a tenang bening dan tulus mas agus mungkin mas,Tokoh dan Partai,"[0.9, 0.1, 0.0]"
43,apapun hasilnya kebanggaan,Tokoh dan Partai,"[0.9, 0.1, 0.0]"
