id,text,aspect_category,sentiment_prob
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,Umum,"[0.3, 0.5, 0.2]"
181,kerja sama ini juga mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah,Umum,"[0.8, 0.2, 0.0]"
286,wkwk ptk naro logo kampus merdeka di ignya tapi mahasiswanya ga merdeka,Umum,"[0.1, 0.3, 0.6]"
76,halah kampus merdeka apanya,Umum,"[0.05, 0.15, 0.8]"
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe they have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,Umum,"[0.4, 0.3, 0.3]"
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,Umum,"[0.7, 0.2, 0.1]"
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,Umum,"[0.3, 0.4, 0.3]"
270,tapi sejujurnya menurutku bagus kok kurikulumnya kalo di perkuliahan bagusnya di merdeka kampus belajar,Umum,"[0.7, 0.2, 0.1]"
21,apaan bagus buat perguruan negri gr2 kebijakan baru bbrp kampus ngebebanin mhs s2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim sks yang padahal mereka gk ngerti apa2 pas di tes,Umum,"[0.1, 0.2, 0.7]"
239,sebenarnya program dia ada yang baik kok contohnya kampus merdeka kayak msib iisma pmm dll soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,Umum,"[0.8, 0.15, 0.05]"
14,ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa miss juga,Umum,"[0.3, 0.3, 0.4]"
292,yg bagusnya cuma kampus merdeka utk mahasiswa,Umum,"[0.7, 0.2, 0.1]"
212,namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka dsb,Umum,"[0.7, 0.2, 0.1]"
30,program dia bagus yg kampus merdeka,Umum,"[0.8, 0.1, 0.1]"
264,tapi buat pendidikan tinggi kurikulum merdeka tu bagus bgt apalagi programprogramnya jadi ada kesempatan buat berkembang diluar kampus,Umum,"[0.8, 0.1, 0.1]"
177,kayanya kebijakan beliau bagusnya yg di kuliah deh kaya kampus merdeka dll dulu sblm ada itu susah bgt cari magang masukin proposal sana sini tp skrg udah terintegrasi sm sistem di kuliah,Kebijakan Menteri,"[0.7, 0.2, 0.1]"
174,katanya sih bagian kampus merdeka termasuk ok gue blm ngerasain 2021 covid dan udh otw sidang wkwk,Umum,"[0.6, 0.3, 0.1]"
