id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,#agussilvy,Agus-Sylvi,0.0,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy mulai,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pendukung,Agus-Sylvi,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",seolah2 pendukung #agussilvy,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Agus-Sylvi,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran..jangan,Agus-Sylvi,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran..jangan terkecoh,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Agus-Sylvi,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #aniessandi,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,wkwkwkwk,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",nya wkwkwkwk,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,apa.,Agus-Sylvi,0.0,kayak,-3.0,"[0.0161, 0.0161, 0.9677]",kayak apa. .,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,kayak,Agus-Sylvi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",@sbyudhoyono kayak apa.,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,qc,Agus-Sylvi,0.0,hasil,3.0,"[0.9677, 0.0161, 0.0161]",akhir qc tp,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,motif,Agus-Sylvi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
