id,text,aspect_category,sentiment_prob
NA,"banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh

Tweet: bicara apa kasihan yaalap itu air matanya wkwkwkwk",Agus-Sylvi,"[0.05, 0.05, 0.9]"
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,Agus-Sylvi,"[0.05, 0.15, 0.8]"
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,Anies-Sandi,"[0.05, 0.15, 0.8]"
5,maaf ya pendukung hayo dukung diputaran 2,Agus-Sylvi,"[0.1, 0.8, 0.1]"
NA,"aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub anda lebay seperti yg anda dukung

Tweet: kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda

Tweet: terima kasih teruntuk pendukung kalianlah pembeda kali ini

Tweet: trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan

Tweet: mengenang pidato kekalahan",Agus-Sylvi,"[0.1, 0.8, 0.1]"
NA,"dammnn politik cantik ngorbanin

Tweet: batal nyoblos baru tau ternyata ga ada no1 di kertas suara",Agus-Sylvi,"[0.8, 0.15, 0.05]"
NA,"sudah boleh ngakak survey mu jauh panggang dari api

Tweet: aku juga kemarin 19april2017 suaraku utk paslon 3",Anies-Sandi,"[0.9, 0.1, 0.0]"
15,karna yang belebihan itu tidak baik ya bah,Ahok-Djarot,"[0.05, 0.15, 0.8]"
16,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,Agus-Sylvi,"[0.05, 0.15, 0.8]"
17,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,Agus-Sylvi,"[0.05, 0.15, 0.8]"
18,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,Ahok-Djarot,"[0.05, 0.05, 0.9]"
19,dia lah banteng dia lah garuda ksatria seperti bpk gentle spt jadi cinta sama,Ahok-Djarot,"[0.9, 0.1, 0.0]"
25,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,Anies-Sandi,"[0.05, 0.1, 0.85]"
38,sayang mayor termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan,Agus-Sylvi,"[0.85, 0.1, 0.05]"
39,setuju bangett banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan,Ahok-Djarot,"[0.75, 0.2, 0.05]"
40,pakai sedotan atau sodetan versi,Ahok-Djarot,"[0.1, 0.8, 0.1]"
45,meskipun kehilangan kesempatan untuk menduduki gubernur dki 20172022,Agus-Sylvi,"[0.1, 0.2, 0.7]"
46,banyak konstituen risih sama mulutnya ahok tapi kalau diminta pilih anies dengan gerombolan khilafah dibelakangnya lebih memilih ahok,Ahok-Djarot,"[0.6, 0.2, 0.2]"
47,cari teman ni yee1dan3 punya keinginan sama gubernur barutunggu dlu hasil resmi kpu baru dengar pernyataan,Agus-Sylvi,"[0.1, 0.8, 0.1]"
48,blunder itu ya dulu hina2 tapi sekarang butuh 17 suara dan harus ngemis minta sama orang yang dulu di hina2 jleb,Ahok-Djarot,"[0.05, 0.05, 0.9]"
49,masih mau mencaci maki dan pepo memo nya kalian hrs mengemis minta suara 17 kpd orang2 yang selama ini kalian hina,Ahok-Djarot,"[0.05, 0.05, 0.9]"
53,jangan tanya aku aku sekeluarga pemilih kalau program dp 0 nyata aku sekeluarga milih,Anies-Sandi,"[0.8, 0.1, 0.1]"
54,sylvi aniessandiaga basukidjarot debat pilkada dki 2017 jangan jual mimpi demi jadi gubernur,Agus-Sylvi,"[0.1, 0.2, 0.7]"
55,ahhhh bukannya karena bang aji ada disitu yang bikin kalah,Agus-Sylvi,"[0.1, 0.2, 0.7]"
56,mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak,Agus-Sylvi,"[0.2, 0.6, 0.2]"
57,aku bangga jadi anak memo,Agus-Sylvi,"[0.9, 0.1, 0.0]"
61,antasari konferensi pers sby sby konferensi pers sby seperti rengekan anak kecil,Agus-Sylvi,"[0.05, 0.15, 0.8]"
NA,"tim yang tidak pernah tidur

Tweet: coba beretika bila ingin dukungan dari konstituen setia jangan menipu dengan membuat meme dan berita palsu rachland nashidik

Tweet: kasihan tidak menyadari ada musuh dalam sarung selfienya sebagai motivasi terselubung hmmm

Tweet: amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye sang mayor sejati",Agus-Sylvi,"[0.1, 0.6, 0.3]"
66,pada pilkada dki ahy dan sby jadi target hoax dan fitnah yang dilakukan akunakun pendukung ahok,Agus-Sylvi,"[0.05, 0.15, 0.8]"
67,ahy masih mentah tapi mau dikarbit demokrat melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja,Agus-Sylvi,"[0.05, 0.1, 0.85]"
68,akibat pernyataan antasari suara ahy melorot pada pilkada dki,Agus-Sylvi,"[0.05, 0.1, 0.85]"
69,enam bulan kampanye pilkada di kubu ahy pendukung ahok sibuk serang program ahy tidak pernah mereka kampanye program ahok sendiri,Agus-Sylvi,"[0.05, 0.15, 0.8]"
70,13 namun apa yang dicontohkan ahy dan pendukungnya tak terjadi paska putaran kedua pilkada dki jakarta perentangan menjadi semakin tajam,Agus-Sylvi,"[0.05, 0.15, 0.8]"
71,ahy dan tim berjalan menjauh dari hiruk pikuk pilkada melanjutkan perjalanan panjang politik mereka dengan rasa kecewa,Agus-Sylvi,"[0.05, 0.1, 0.85]"
72,ketika ahy kalah berpidato semua timnya terdiam menangis lalu setelah itu mereka melepaskan diri dari pilkada dki,Agus-Sylvi,"[0.05, 0.05, 0.9]"
73,sejujurnya penilaian subyektif saya terlalu cepat bila ahy 2019 kalah di pilkada bukan modal tapi catatan negatif,Agus-Sylvi,"[0.05, 0.1, 0.85]"
74,tolak bajingan tengik ahy tukang sogok pemilih ini bangsat ahy ini sungguh berbahaya,Agus-Sylvi,"[0.0, 0.0, 1.0]"
75,tolak ahy yang berpolitik membawa agama,Agus-Sylvi,"[0.05, 0.1, 0.85]"
