id,text,aspect_category,sentiment_prob
NA,"akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: bicara kasihan yaalap air matanya wkwkwkwk
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada",Agus-Sylvi,"[0.05, 0.05, 0.9]"
5,maaf pendukung hayo dukung diputaran 2,Agus-Sylvi,"[0.1, 0.3, 0.6]"
NA,"aneh deh lebay sangkut pautkan kandidat calgub lebay dukung
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: allah swt ucapkan syukur dan terimakasih makna 17 suara
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: terima kasih teruntuk pendukung kalianlah pembeda
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: terima kasih keistiqomahan relawan tlh mengantarkan signifikan
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: mengenang pidato kekalahan
*(Tidak ada aspek yang relevan secara spesifik karena ambigu antara dua paslon yang kalah)*

Tweet: dammnn politik cantik mengorbankan
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: batal nyoblos tidak no1 kertas suara",Agus-Sylvi,"[0.05, 0.15, 0.8]"
NA,"sudah boleh mengakak survey mu panggang api
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: 19april2017 suaraku paslon 3",Anies-Sandi,"[0.9, 0.1, 0.0]"
NA,"belebihan tidak baik bah
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: om aa lepas kalah tutup mulut tidak koar bongkar surabaya",Ahok-Djarot,"[0.05, 0.05, 0.9]"
NA,"pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk
*(Tidak ada aspek yang relevan secara spesifik)*

Tweet: pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi",Ahok-Djarot,"[0.05, 0.15, 0.8]"
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,Anies-Sandi,"[0.8, 0.15, 0.05]"
19,banteng garuda ksatria gentle cinta,Ahok-Djarot,"[0.9, 0.1, 0.0]"
24,pakdhe karwo pilgub jatim deh karwo isyaratkan agus tidak maju pilgub jatim,Agus-Sylvi,"[0.0, 1.0, 0.0]"
25,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,Anies-Sandi,"[0.0, 0.1, 0.9]"
34,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,Agus-Sylvi,"[0.8, 0.1, 0.1]"
36,jangan curiga saldonya bisa kenti blt berbuat baik belum apa-apa sudah curiga mekanismenya,Agus-Sylvi,"[0.7, 0.2, 0.1]"
37,ahoker masih bully,Ahok-Djarot,"[0.0, 0.1, 0.9]"
38,sayang mayor termasuk dikader pemimpin taruna teratas lagi2 pilihan,Agus-Sylvi,"[0.6, 0.3, 0.1]"
39,setuju banget tidak bersyukur kemrin tidak banjir sibuk pembelaan,Ahok-Djarot,"[0.7, 0.2, 0.1]"
40,pakai sedotan atau sodetan versi,Ahok-Djarot,"[0.1, 0.8, 0.1]"
NA,"Tweet: hellloooo suara rakyat mengerti suara rakyat bukan suaranya dek ngopi gih
(Tidak ada aspek yang relevan)

Tweet: cari teman padahal sudah gubernur
(Tidak ada aspek yang relevan)

Tweet: kesatria dan lapang dada hoax kalah sudah masih menang ulama bayaran
(Tidak ada aspek yang relevan)

Tweet: agus tersingkir ahok anies rebutan suara ahy kepentingan kelompok",Agus-Sylvi,"[0.1, 0.2, 0.7]"
NA,"meskipun kehilangan kesempatan menduduki gubernur dki 20172022
(Tidak ada aspek yang relevan)

Tweet: konstituen risih mulutnya ahok tapi pilih anies gerombolan khilafah dibelakangnya memilih ahok",Ahok-Djarot,"[0.05, 0.05, 0.9]"
