id,text,aspect_category,sentiment_prob
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,Program,"[0.0, 1.0, 0.0]"
181,Kerja sama ini juga mendukung program Merdeka Belajar Kampus Merdeka (MBKM) membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah!,Program,"[1.0, 0.0, 0.0]"
286,@freaktey Wkwk PTK naro logo Kampus Merdeka di IG-nya tapi mahasiswanya ga merdeka,Program,"[0.0, 0.0, 1.0]"
76,@CNNIndonesia Halah kampus merdeka apanya,Program,"[0.0, 0.0, 1.0]"
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,Magang,"[0.9, 0.1, 0.0]"
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,Program,"[0.9, 0.1, 0.0]"
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,Nadiem,"[0.0, 0.0, 1.0]"
270,@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,Program,"[1.0, 0.0, 0.0]"
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,Program,"[0.0, 0.0, 1.0]"
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,Program,"[1.0, 0.0, 0.0]"
