id,text,aspect_category,sentiment_prob
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,Pendukung/Pemilih,"[0.1, 0.2, 0.7]"
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,Politik Uang,"[0.1, 0.2, 0.7]"
149,awas ye kalo minta dukungan suara pendukung,Pendukung/Pemilih,"[0.3, 0.4, 0.3]"
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub anda lebay seperti yg anda dukung,Pendukung/Pemilih,"[0.1, 0.2, 0.7]"
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,Pendukung/Pemilih,"[0.7, 0.2, 0.1]"
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,Pendukung/Pemilih,"[0.8, 0.1, 0.1]"
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,Pendukung/Pemilih,"[0.8, 0.1, 0.1]"
233,sudah boleh ngakak survey mu jauh panggang dari api,Kampanye,"[0.1, 0.2, 0.7]"
32,aku juga kemarin 19april2017 suaraku utk paslon 3,Pendukung/Pemilih,"[0.5, 0.5, 0.0]"
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,Politik Uang,"[0.1, 0.2, 0.7]"
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
80,banteng garuda ksatria gentle cinta,Tokoh dan Partai,"[0.6, 0.3, 0.1]"
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,Politik Uang,"[0.1, 0.2, 0.7]"
83,double lol menuduh miskin ide copy,Kampanye,"[0.1, 0.2, 0.7]"
131,kemana nih antasari kalah di melempem dia benerbener akting yang,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
104,ingat tidak bisa modal omongan saja tapi kerja nyata,Kampanye,"[0.3, 0.4, 0.3]"
176,pakdhe karwo pilgub jatim pak dhe karwo isyaratkan agus tidak akan maju di pilgub jatim,Tokoh dan Partai,"[0.4, 0.4, 0.2]"
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
78,di manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan yg dinantinantikan rakyat itu,Tokoh dan Partai,"[0.7, 0.2, 0.1]"
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,Politik Uang,"[0.05, 0.15, 0.8]"
107,isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer eh jelang disebar lagi,Kampanye,"[0.1, 0.3, 0.6]"
47,awas ye kalo minta dukungan suara pendukung,Pendukung/Pemilih,"[0.1, 0.4, 0.5]"
105,ini dia pelaku pengirim sms gelap antasari azhar,Tokoh dan Partai,"[0.05, 0.25, 0.7]"
41,antasari diancam harry tanoe,Tokoh dan Partai,"[0.05, 0.15, 0.8]"
111,jangan curiga dulu saldonya bisa di kenti seperti blt orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa,Politik Uang,"[0.1, 0.5, 0.4]"
11,ahoker masih bully,Pendukung/Pemilih,"[0.05, 0.25, 0.7]"
99,hellloooo suara rakyat ngerti suara rakyat bukan suaranya or dek ngopi dulu gih,Pendukung/Pemilih,"[0.1, 0.4, 0.5]"
5,agus tersingkir ahok anies rebutan suara ahy untuk kepentingan kelompok lewat,Tokoh dan Partai,"[0.05, 0.25, 0.7]"
165,meskipun kehilangan kesempatan untuk menduduki gubernur dki 20172022,Tokoh dan Partai,"[0.1, 0.4, 0.5]"
53,banyak konstituen risih sama mulutnya ahok tapi kalau diminta pilih anies dengan gerombolan khilafah dibelakangnya lebih memilih ahok,Tokoh dan Partai,"[0.3, 0.3, 0.4]"
60,blunder itu ya dulu hina2 tapi sekarang butuh 17 suara dan harus ngemis minta sama orang yang dulu di hina2 jleb,Tokoh dan Partai,"[0.05, 0.25, 0.7]"
157,masih mau mencaci maki dan pepo memo nya kalian hrs mengemis minta suara 17 kpd orang2 yang selama ini kalian hina,Tokoh dan Partai,"[0.05, 0.25, 0.7]"
88,golput lebih tinggi daripada pemilih ya nampaknya,Pendukung/Pemilih,"[0.1, 0.4, 0.5]"
121,kalau merhatiin relawan saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada islah dengan relawan dulu,Pendukung/Pemilih,"[0.1, 0.5, 0.4]"
175,pakar mantan sby ini surat anas urbaningrum dari jeruji besi sindiran buat mantan,Tokoh dan Partai,"[0.05, 0.15, 0.8]"
116,jangan tanya aku aku sekeluarga pemilih kalau program dp 0 nyata aku sekeluarga milih,Pendukung/Pemilih,"[0.75, 0.2, 0.05]"
234,sylvi aniessandiaga basukidjarot debat pilkada dki 2017 jangan jual mimpi demi jadi gubernur,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
7,ahhhh bukannya karena bang aji ada disitu yang bikin kalah,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
168,mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak,Pendukung/Pemilih,"[0.6, 0.3, 0.1]"
180,pendukung sulit melupakan bully2 seperti ini,Pendukung/Pemilih,"[0.05, 0.2, 0.75]"
38,anggap saja bisa sebulan kemudian pada dijual pindah tangan ke orang2 elit partai gerindra dan pks,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
42,antasari konferensi pers sby sby konferensi pers sby seperti rengekan anak kecil,Tokoh dan Partai,"[0.05, 0.15, 0.8]"
246,tim yang tidak pernah tidur,Kampanye,"[0.7, 0.2, 0.1]"
67,coba beretika bila ingin dukungan dari konstituen setia jangan menipu dengan membuat meme dan berita palsu rachland nashidik,Pendukung/Pemilih,"[0.1, 0.2, 0.7]"
129,kasihan tidak menyadari ada musuh dalam sarung selfienya sebagai motivasi terselubung hmmm,Kampanye,"[0.1, 0.3, 0.6]"
